Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
306,48,1,200,7,0.01,0.3,234.5708162971939,163.1282922355169,0.013637468880950144,1.0521603931080212
307,48,1,200,7,0.01,0.5,231.5026774089888,159.88828713539854,0.013483392661009773,0.9093177535317161
308,48,1,200,7,0.01,0.7,232.11662319030845,159.87104292741154,0.013508269721996147,0.9936727610501376
309,48,1,200,7,0.01,0.1,290.00687388105484,204.45446149409463,0.016669288889767157,0.9366949471560392
310,48,1,200,7,0.1,0.1,481.1457555959281,332.20506087889464,0.026732481469395185,1.0559840635819868
311,48,1,200,7,0.1,0.3,295.30078306229706,208.10653114736894,0.016952550036980582,1.0103381330316716
312,48,1,200,7,0.1,0.5,255.4942002078449,179.51277329737852,0.014769149873213983,0.8977336233312433
313,48,1,200,7,0.1,0.7,241.3083248967044,168.5525797010567,0.013986391000841964,0.9941208796067671
314,48,1,200,7,0.1,0.1,481.24070369724086,332.26682595002495,0.026736060965890228,0.9282679991288618
315,48,1,200,7,1.0,0.1,804.4273208915304,582.630328860577,0.047191609179772144,0.9443005215037953
316,48,1,200,7,1.0,0.3,494.15712818058853,341.19549689182736,0.027446061691474854,0.9803315942937677
317,48,1,200,7,1.0,0.5,384.79551528859696,267.75412320854053,0.02163734526266386,1.0824088183316318
318,48,1,200,7,1.0,0.7,331.69627821513467,232.98445000278852,0.018900523668389336,0.9918524135242809
319,48,1,200,7,1.0,0.1,804.4484246609446,582.6442628694895,0.04718974203286443,1.0338666872544722
320,96,1,20,1,0.001,0.1,241.70787468342675,168.89334894655335,0.013868861929204945,0.020638444206931318
321,96,1,20,1,0.001,0.3,240.77376766788592,166.9813501647382,0.013840450447355946,0.019542694091796837
322,96,1,20,1,0.001,0.5,242.23635463852332,167.84838727425748,0.013899115942804208,0.021726803346113665
323,96,1,20,1,0.001,0.7,242.82306618336915,168.13256525556002,0.01391173034105419,0.021819353103637643
324,96,1,20,1,0.001,0.1,241.71249042487005,168.89980506046206,0.0138694941306898,0.024171244014393144
325,96,1,20,1,0.01,0.1,300.4472164330823,213.42788367522772,0.017098774154119853,0.018439184535633382
326,96,1,20,1,0.01,0.3,242.46096862053864,169.4852623105276,0.013900759207646883,0.017920689149336335
327,96,1,20,1,0.01,0.5,238.9427786980167,166.03062095974576,0.01374041149602101,0.018519444899125482
328,96,1,20,1,0.01,0.7,239.65417772944738,166.2888398614349,0.0137803876877422,0.020204544067382764
329,96,1,20,1,0.01,0.1,300.5917769185469,213.53507127676696,0.017101771825087545,0.023766019127585622
330,96,1,20,1,0.1,0.1,494.04045132327667,348.4984640290639,0.02762334313952992,0.02275551449168808
331,96,1,20,1,0.1,0.3,305.7646443508402,217.20665055409475,0.017394428824397675,0.020983024076981927
332,96,1,20,1,0.1,0.5,264.9292718663867,187.3699117846929,0.015124663074181664,0.020581093701449255
333,96,1,20,1,0.1,0.7,249.96529517916977,175.58072198676965,0.014292584311778827,0.02099784937771881
334,96,1,20,1,0.1,0.1,493.2578129098971,347.9562292532937,0.02758985159400498,0.02360692891207605
335,96,1,20,1,1.0,0.1,885.051431645124,672.2030320026229,0.052070675189644214,0.0234465815804221
336,96,1,20,1,1.0,0.3,506.7674561781278,357.6402921769869,0.02834112668057641,0.024429776451804365
337,96,1,20,1,1.0,0.5,396.272488419393,280.1000042545434,0.022322433901732816,0.022815270857377435
338,96,1,20,1,1.0,0.7,343.089539864374,243.59252459270593,0.019435303366357,0.024027802727439138
339,96,1,20,1,1.0,0.1,885.3381895788597,672.452015428603,0.05208273605187783,0.024021733890880196
340,96,1,20,3,0.001,0.1,241.72489978173215,168.9075283270991,0.01386872336895341,0.08027661930431015
341,96,1,20,3,0.001,0.3,240.7659109855621,166.94510532300035,0.013837554002696628,0.08254434845664281
342,96,1,20,3,0.001,0.5,242.22706557300253,167.79902545434413,0.013896789028472783,0.0804656852375377
343,96,1,20,3,0.001,0.7,242.82490357648913,168.17639247302915,0.013916382242429927,0.0767282355915416
344,96,1,20,3,0.001,0.1,241.68086882552828,168.86305824942124,0.013868142460644807,0.07860357111150564
345,96,1,20,3,0.01,0.1,300.5553185920717,213.50662922644804,0.0170988331085334,0.0845425128936767
346,96,1,20,3,0.01,0.3,242.48599293072613,169.53792239953285,0.013905813090809292,0.07720273191278626
347,96,1,20,3,0.01,0.5,239.01456855677125,166.16602231758145,0.013747468059084817,0.07905194976113056
348,96,1,20,3,0.01,0.7,239.62945198799915,166.15719228517017,0.013765545179338782,0.0786954056132923
349,96,1,20,3,0.01,0.1,300.3701996660024,213.36901279716986,0.017092790239200517,0.07569802891124375
