Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE
247,LSE.xlsx,48,1,200,1,0.01,0.5,67.26717393850933,49.200163545394936,0.006859582575901773
247,NASDAQ.xlsx,48,1,200,1,0.01,0.5,218.10967986681266,167.19947520069456,0.013009092319693213
247,NIFTY50.xlsx,48,1,200,1,0.01,0.5,174.6783039600731,132.31366280869187,0.008008310733548905
247,NYSE.xlsx,48,1,200,1,0.01,0.5,174.81919529234438,134.88799992380126,0.00861292193491774
247,RUSSELL2000.xlsx,48,1,200,1,0.01,0.5,33.112972994245034,26.796169622318978,0.013198411269808951
247,SENSEX.xlsx,48,1,200,1,0.01,0.5,593.214797271921,448.23820422536653,0.008093569729796217
247,SP500.xlsx,48,1,200,1,0.01,0.5,52.45685380256764,39.61860896831106,0.009596408701864515
247,SSE.xlsx,48,1,200,1,0.01,0.5,34.86298216230824,26.410384985438153,0.007887146326670504
287,DJI.xlsx,48,1,200,5,0.01,0.5,355.99804614653544,270.65274012852933,0.008167094097659894
287,HSI.xlsx,48,1,200,5,0.01,0.5,380.7144283567963,288.8128943670535,0.012703703337594874
287,KOSPI.xlsx,48,1,200,5,0.01,0.5,30.459290798901694,23.925314747886222,0.00863856364809114
287,LSE.xlsx,48,1,200,5,0.01,0.5,67.26774849081076,49.19978792344282,0.0068595397608990135
287,NASDAQ.xlsx,48,1,200,5,0.01,0.5,218.10106152693257,167.20651509770667,0.013009987116903668
287,NIFTY50.xlsx,48,1,200,5,0.01,0.5,174.68386908768295,132.33882267304645,0.008009731518492444
287,NYSE.xlsx,48,1,200,5,0.01,0.5,174.80162107710302,134.85529616013451,0.00861109295184458
287,RUSSELL2000.xlsx,48,1,200,5,0.01,0.5,33.115201187383754,26.797116444281592,0.013199062292972996
287,SENSEX.xlsx,48,1,200,5,0.01,0.5,593.3753802521497,448.3952720708841,0.008096400113470898
287,SP500.xlsx,48,1,200,5,0.01,0.5,52.464628789672375,39.62202419586907,0.009597365967579935
287,SSE.xlsx,48,1,200,5,0.01,0.5,34.864490949406914,26.410743522539313,0.00788725555604813
